Category,Class Level,Difficulty,Task Name,Passage/Content/Problem,Questions/Options/Answers
Reading,1,Easy,Sunny Words & Speedy Cats,The cat runs. I see the sun. The car is red.,
Reading,1,Easy,My Soft Cat,My cat is soft. She likes to sleep on the mat. She says meow.,
Reading,1,Easy,Pitter Patter Rain,The rain falls down. Pitter patter on the roof. I use my umbrella.,
Reading,1,Easy,Sweet Apples for Me,I like to eat apples. Apples are sweet. My mom gives me one.,
Reading,1,Easy,The Bird on the Big Tree,Look at the big tree. It has green leaves. A bird sits on it.,
Reading,1,Easy,The Happy Red Ball,The dog plays with a ball. It is a red ball. He is happy.,
Reading,2,Easy,The Frog on the Friendly Log,A little frog sat on a log. He was green with brown spots. He liked to eat bugs.,
Reading,2,Easy,Curlylocks and the Porridge,"Curlylocks went into the cottage. She saw three bowls of porridge on the table. One was big, one was middle-sized, and one was tiny.",
Reading,2,Easy,Mr. Nobody the Mischief Maker,Mr. Nobody is a funny little man. He is as quiet as a mouse. He does the mischief in every house.,
Reading,2,Easy,The Little Teapot Song,"I am a little teapot, short and stout. This is my handle, and this is my spout. When the water boils, hear me shout!",
Reading,2,Easy,The Wind and the Sun Contest,"The wind and the sun had a contest. The wind blew hard, but the man held his coat tight. The sun shone hot, and the man took it off.",
Reading,2,Easy,Haldi and the Giraffe,Haldis adventure was fun. She saw a giraffe with glasses. The giraffe held a book in his hand.,
Reading,3,Medium,Climbing the Mountain,"Don't give up, if you keep on going. If you don't stop, you can make it to the top. The mountain is high, but you can climb it.",
Reading,3,Medium,News from the Postman,"The postman brings letters for my mom and dad. He walks miles to bring us news. Sometimes the news is happy, and sometimes it is sad.",
Reading,3,Medium,The Little Fish's Wish,A little fish was swimming in the sea. He was not happy because he was so small. He wished to be larger so he could be important.,
Reading,3,Medium,Nina and the Baby Sparrows,Nina was sad because she did not want to leave the baby sparrows alone. Her mother said they would leave the window open so the mama bird could come in.,
Reading,3,Medium,The Magic Garden Playground,"The magic garden was in a school playground. It was very pretty. Sunflowers and roses stood high against the wall. There were also marigolds, poppies and pansies.",
Reading,3,Medium,The Crayon Sharing Surprise,"You have a few crayons, Red, yellow and blue. Green, purple and black, I have some too. I need the red and you need the black. If we share our crayons, we have a full pack!",
